3189|Ein alter diener|"Elektra"
3184|Yansen|"El Trust de los tenorios", "El Puñao de rosas"
4074|Ottone|"Adelaide di Borgogna" di Generali
7730|Pamina|"Die Zauberflöte" (Il Flauto Magico)
4827|Figaro|Riccardo Muti dirige "I due Figaro"
8104|Sesto, figlio di Pompeo e Cornelia|“Giulio Cesare” di Händel
4204|Elvire|"La muette de Portici"
1358|Ernestina|Due farse rossiniane a Città
7777|Pantalon|"L'amour des trois oranges"
1891|Ferrando|“ Facciamo Trovatore… ”
6770|Le Barone Puck|"La Grande-Duchesse de Gerolstein"
8595|Caballo tercero|prima mondiale di “El Público” a Madrid
9818|Oraspe Generale de’ Palmireni|"Zenobia in Palmira" di Paisiello
6544|Douglas D'Angus|«Come resistere / a tanti affetti!» “La Donna
4922|Vendedora primera|"El amor brujo" e "La vida breve"
9806|La chouette|"L’heure espagnole" '-- "L’enfant et les sortilèges"
3083|Un famigliare di Chevreuse|"Maria di Rohan"
7514|Fuochista dello zar|"Csarskaja Nevesta" ( sposa per lo Zar)
7377|Zorzeto|"Il Campiello" un "hit"
3640|Señora Encarna / Pescadora|"Los sobrinos del Capitan Grant"
4671|Artaserse|"Artaserse" di Hasse
344|Sylvaine|"La vedova allegra"
5758|Il commissario di polizia del quartiere|"Il Naso"
7889|Marco|"Il Trittico"
937|La segretaria di edizione|"Cin-Ci-là"
2878|Jackie "Tiger" Brown|"L'Opera da tre soldi"
2724|Un domestico di Flora|"La Traviata"
6481|Foresto|-
2841|Un soldato|"Ariadne auf Naxos"
2539|Il Dottore|"Wozzeck"
1989|Cavaradossi|"Tosca"
3769|Gasparina|"Der Schauspieldirektor", "La Canterina"
7181|Don Ruy Gomez de Silva, Grande di Spagna|"Ernani"
5454|Il Conte d'Almaviva|"Il barbiere di Siviglia"
5483|Lia|"L'Enfant Prodigue" e "Cavalleria Rusticana"
6486|Foresto|-
7193|Beaupertius|"Il cappello di paglia di Firenze"
8948|Febo|"Dafne"
3874|Un gendarme / une voix de ténor|"La Chartreuse de Parme"
4434|Une dame d'honneur|"Robert le diable"
566|Lord Sydney|"Il Viaggio a Reims"
1523|Neris|"Medea"
5043|Jenůfa|"Jenůfa"
3064|Carlo|-
7926|Prima Conversa|"Il Trittico"
3483|Simone|"Il campanello" e "Gianni Schicchi"
325|Un eunuco/uno schiavo|"Il Corsaro"
8793|Lord</em> <em>Enrico Ashton|"Lucia di Lammermoor"
189|Mercedes|"Carmen"
9639|Ginevra|"La cena delle beffe"
