GIUSEPPINA BRIDELLI,LA TRAVIATA
MICHELA ANTENUCCI,LA TRAVIATA
STEFAN POP,LA TRAVIATA
GIOVANNI MEONI,LA TRAVIATA
ENRICO COSSUTTA,LA TRAVIATA
FERNANDO PIQUERAS,LA TRAVIATA
FRANCESCO MUSINU,LA TRAVIATA
ITALO PROFERISCE,LA TRAVIATA
MARIO TODISCO,LA TRAVIATA
ANTONIO DE LISIO,LA TRAVIATA
GIUSEPPE SCARICO,LA TRAVIATA
IL CONVITATO DI PIETRA,Ciclo Una Gigantesca Follia  Dongiovanni Festival
VLADIMIR REUTOV,Ciclo Una Gigantesca Follia  Dongiovanni Festival
NATALIZIA CARONE,Ciclo Una Gigantesca Follia  Dongiovanni Festival
PIOTR WOLOSZ,Ciclo Una Gigantesca Follia  Dongiovanni Festival
JAVIER LANDETE,Ciclo Una Gigantesca Follia  Dongiovanni Festival
ELISABETTA FARRIS,Ciclo Una Gigantesca Follia  Dongiovanni Festival
GELSOMINA TROIANO,Ciclo Una Gigantesca Follia  Dongiovanni Festival
DANIELE PISCOPO,Ciclo Una Gigantesca Follia  Dongiovanni Festival
MARCO INNAMORATI,Ciclo Una Gigantesca Follia  Dongiovanni Festival
VALENTINA IANNONE,Ciclo Una Gigantesca Follia  Dongiovanni Festival
INSUNG SIM,DIE ZAUBERFLTE (Il flauto magico)
LEONARDO CORTELLAZZI,DIE ZAUBERFLTE (Il flauto magico)
ANDREA PATUCELLI,DIE ZAUBERFLTE (Il flauto magico)
ROMANO DAL ZOVO,DIE ZAUBERFLTE (Il flauto magico)
CRISTIANO OLIVIERI,DIE ZAUBERFLTE (Il flauto magico)
DANIELA CAPPIELLO,DIE ZAUBERFLTE (Il flauto magico)
EKATERINA BAKANOVA,DIE ZAUBERFLTE (Il flauto magico)
FRANCESCA SASSU,DIE ZAUBERFLTE (Il flauto magico)
ALESSIA NADIN,DIE ZAUBERFLTE (Il flauto magico)
ELENA SERRA,DIE ZAUBERFLTE (Il flauto magico)
FEDERICO FIORIO,DIE ZAUBERFLTE (Il flauto magico)
STELLA CAPELLI,DIE ZAUBERFLTE (Il flauto magico)
MARIA GIOIA,DIE ZAUBERFLTE (Il flauto magico)
LAVINIA BINI,DIE ZAUBERFLTE (Il flauto magico)
CHRISTIAN SENN,DIE ZAUBERFLTE (Il flauto magico)
MARCELLO NARDIS,DIE ZAUBERFLTE (Il flauto magico)
VINCENT WOLFSTEINER,TRISTAN UND ISOLDE
ALEXEY BIRKUS,TRISTAN UND ISOLDE
CLAUDIA ITEN,TRISTAN UND ISOLDE
JOCHEN KUPFER,TRISTAN UND ISOLDE
JAVID SAMADOV,TRISTAN UND ISOLDE
ROSWITHA CHRISTINA MLLER,TRISTAN UND ISOLDE
MARTIN PLATZ,TRISTAN UND ISOLDE
ROMANO FRANCI,TRISTAN UND ISOLDE
ANGELA NISI,LE BRACI
ROMINA TOMASONI,LE BRACI
DAVIDE GIUSTI  GREGORY BONFATTI,LE BRACI
