2041|Benoît e Alcindoro|"La Bohème"
184|Un usciere|"Rigoletto"
612|Un’arredatrice|"Lulu"
2300|Dottor Malatesta|"Don Pasquale"
3453|Hortensius|"La fille du régiment"
2819|Gastone, Visconte de Letorières|“La Traviata”
24|Capo della polizia|"Lady Macbeth del distretto di Mzesnk"
2602|Colin|"L' ecume des Jours" di Edison Denisov
669|Euryanthe|"Euryanthe"
4012|Chocholka, una gallina e il picchio|"Příhody lišky Bystroušky" (La piccola volpe astuta)
2292|Un Satyre / Cithéron|"Platée"
3|Il grande Inquisitore|“Don Carlo”
2132|Philebos|"Der König Kandaules"
199|Zeta|"La vedova allegra"
2297|Semira|"Artaserse" di Hasse
3236|Desdemona, moglie di Otello|"Otello"
1311|Archon|"The Greek Passion"
948|Cassandra|"Cats"
267|Vitek|"L'affare Makropoulos"
3233|Léonor de Guzman|"La Favorite"
1816|Jaime|"Los sobrinos del Capitan Grant"
501|Il Comandante/Il Gran Colombo|"Il mondo alla rovescia"
3614|Pirzel|“Die Soldaten” al Teatro alla Scala
144|Andrej Scelkalov|"Boris Godunov"
3278|Il Visconte Cascada|"La Vedova allegra"
1281|Raimondo Bidebent|"Lucia di Lammermoor"
757|Federica d'Ostheim|-
4199|Madama Volpe|"Pollicino"
2848|Primo e secondo Cavaliere del Graal|"Parsifal"
3311|Johannes|"Wunderzaichen" di Mark Andre in prima assoluta
3210|Don Carlo, re di Spagna|"Ernani"
3406|Guglielmo, ufficiale, amante di Fiordiligi|"Così fan tutte"
2519|Lillas</em> <em>Pastia|La liberté!» Carmen al Regio di Torino
1871|Lord Riccardo Percy|"Anna Bolena"
2642|Silvano, marinaio|"Un ballo in maschera"
3970|Cio-Cio San|"Madama Butterfly"
57|Un venditore|"La Bohème"
1511|Pastore|"Pelléas et Mélisande"
2166|Christian|"Cyrano de Bergerac"
1900|Due maggiordomi|"Der Rosenkavalier"
3334|Maometto II|"Maometto II"
3819|Caterina|"L'Amico Fritz"
747|Honoré</em> <em>Lachailles|"Gigi"
1194|Albert|"Werther"
795|Don Pizarro|"Fidelio"
2706|Carlo Gérard|"Andrea Chénier"
2187|Raimbaut|"Robert le diable"
888|Estrella|Lima,"La Leyenda
2725|I due figli della dama elegante MARCO SEVERIN|"Il Naso"
861|Primo Paggio|"Die Zauberflöte" (Il flauto magico)
4211|Albert Herring|"Albert Herring"
2845|Pascual|"Marina"
2533|Domestico di Macbeth, Un Sicario, Un Araldo|"Macbeth"
1297|Amore|"Orfeo ed Euridice"
1539|Himam|"Heart of a Soldier"
1243|Marquis de la Force|"Les Dialogues des Carmélites"
3629|Théâtre La Monnaie|"Fierrabras"
735|Guglielmo|"Elisabetta, regina d'Inghilterra"
3828|Erster Knabe (Primo fanciullo)|"Die Zauberflöte"
1803|Il Barone di Trombonok|"Il viaggio a Reims"
3057|La Grande-Duchesse|"La Grande-Duchesse de Gerolstein"
1185|Giovannina Bellinzaghi|"Risorgimento", "Il prigioniero"
3572|Lucy|"La voix humaine" e "The telephone"
751|Maitre Dufresne|"Gigi"
1350|Pinellino|"Il Trittico" di Giacomo Puccini
89|Venditrice di fragole/giornalaia|"Death in Venice"
1989|Kosinská|"Die glückliche Hand" e "Osud"
2732|Nono poliziotto/un uomo anziano|"Il Naso"
2305|Le Feu, le Rossignol|"L'enfant et les sortilèges"
3183|Le grand-prêtre de Brahma|La Fenice
1695|Mengotto|"La Cecchina, ossia la buona figliuola"
1532|Un capitano|"Evgenij Onegin"
3234|Un Seigneur|"La Favorite"
239|Canio|"Pagliacci"
1733|Acis|"Acis and Galatea"
3087|Mopsa / Chinese Man|"The Fairy Queen"
2505|First Witch|"Dido and Aeneas"
1118|Armida|"Rinaldo"
3076|Narratrice|“Der Kaiser von Atlantis” di Viktor Ullmann
1693|Il Marchese della Conchiglia|"La Cecchina, ossia la buona figliuola"
2090|Ragonde|"Le comte Ory"
3633|Prima conversa|“Goyescas” e “Suor Angelica” al Teatro Regio di Torino
4237|Carlo, Visconte di Sirval|"Linda di Chamounix"
818|Contessa  Almaviva|"Le nozze di Figaro"
446|Idomeneo|"Idomeneo, re di Creta"
